Year,m,d,Time,Time zone,Direction of waves (deg),Wave height (m)
2019,4,27,17:30,UTC,48,0.1
2019,4,27,18:00,UTC,182,0.1
2019,4,27,18:30,UTC,152,0.1
2019,4,27,19:00,UTC,141,0.1
2019,4,27,19:30,UTC,62,0.1
2019,4,27,20:00,UTC,168,0
2019,4,27,20:30,UTC,178,0
2019,4,27,21:00,UTC,92,0.3
2019,4,27,21:30,UTC,91,0.5
2019,4,27,22:00,UTC,99,0.5
2019,4,27,22:30,UTC,92,0.6
2019,4,27,23:00,UTC,100,0.7
2019,4,27,23:30,UTC,102,0.7
2019,4,28,00:00,UTC,99,0.7
2019,4,28,00:30,UTC,103,0.7
2019,4,28,01:00,UTC,92,0.7
2019,4,28,01:30,UTC,92,0.8
2019,4,28,02:00,UTC,99,0.7
2019,4,28,02:30,UTC,96,0.8
2019,4,28,03:00,UTC,92,0.8
2019,4,28,03:30,UTC,91,0.9
2019,4,28,04:00,UTC,91,0.9
2019,4,28,04:30,UTC,103,0.9
2019,4,28,05:00,UTC,92,0.9
2019,4,28,05:30,UTC,89,0.9
2019,4,28,06:00,UTC,92,0.9
2019,4,28,06:30,UTC,99,0.9
2019,4,28,07:00,UTC,93,0.8
2019,4,28,07:30,UTC,102,0.8
2019,4,28,08:00,UTC,92,0.8
2019,4,28,08:30,UTC,96,0.7
2019,4,28,09:00,UTC,98,0.7
2019,4,28,09:30,UTC,98,0.7
2019,4,28,10:00,UTC,92,0.7
2019,4,28,10:30,UTC,103,0.6
2019,4,28,11:00,UTC,106,0.6
2019,4,28,11:30,UTC,131,0.5
2019,4,28,12:00,UTC,98,0.5
2019,4,28,12:30,UTC,157,0.5
2019,4,28,13:00,UTC,95,0.5
2019,4,28,13:30,UTC,110,0.5
2019,4,28,14:00,UTC,106,0.5
2019,4,28,14:30,UTC,140,0.4
2019,4,28,15:00,UTC,134,0.4
2019,4,28,15:30,UTC,161,0.4
2019,4,28,16:00,UTC,136,0.4
2019,4,28,16:30,UTC,129,0.4
2019,4,28,17:00,UTC,117,0.3
2019,4,28,17:30,UTC,131,0.4
2019,4,28,18:00,UTC,120,0.3
2019,4,28,18:30,UTC,137,0.3
