Year,m,d,Time,Time zone,Direction of waves (deg),Wave height (m)
2019,1,11,08:30,UTC,291,2.6
2019,1,11,09:00,UTC,282,2.7
2019,1,11,09:30,UTC,279,2.8
2019,1,11,10:00,UTC,275,2.7
2019,1,11,10:30,UTC,292,2.7
2019,1,11,11:00,UTC,284,2.9
2019,1,11,11:30,UTC,281,2.7
2019,1,11,12:00,UTC,289,2.9
2019,1,11,12:30,UTC,284,2.8
2019,1,11,13:00,UTC,289,2.7
2019,1,11,13:30,UTC,289,3
2019,1,11,14:00,UTC,291,3
2019,1,11,14:30,UTC,302,3.4
2019,1,11,15:00,UTC,310,3.9
2019,1,11,15:30,UTC,300,3.4
2019,1,11,16:00,UTC,313,3.4
2019,1,11,16:30,UTC,306,3.4
2019,1,11,17:00,UTC,315,3.7
2019,1,11,17:30,UTC,315,3.9
2019,1,11,18:00,UTC,316,3.8
2019,1,11,18:30,UTC,319,4
2019,1,11,19:00,UTC,323,4.1
2019,1,11,19:30,UTC,324,4.2
2019,1,11,20:00,UTC,324,3.8
2019,1,11,20:30,UTC,329,4.5
2019,1,11,21:00,UTC,329,4
2019,1,11,21:30,UTC,330,3.8
2019,1,11,22:00,UTC,337,3.8
2019,1,11,22:30,UTC,333,3.7
2019,1,11,23:00,UTC,336,3.8
2019,1,11,23:30,UTC,334,3.6
2019,1,12,00:00,UTC,340,3.2
2019,1,12,00:30,UTC,343,3.3
2019,1,12,01:00,UTC,333,2.9
2019,1,12,01:30,UTC,331,2.9
2019,1,12,02:00,UTC,334,3
2019,1,12,02:30,UTC,344,2.7
2019,1,12,03:00,UTC,333,2.7
2019,1,12,03:30,UTC,331,3.1
2019,1,12,04:00,UTC,336,3.2
2019,1,12,04:30,UTC,331,3.2
2019,1,12,05:00,UTC,331,2.9
2019,1,12,05:30,UTC,327,3.1
2019,1,12,06:00,UTC,330,2.9
2019,1,12,06:30,UTC,334,2.5
2019,1,12,07:00,UTC,333,2.9
2019,1,12,07:30,UTC,338,2.5
2019,1,12,08:00,UTC,336,2.5
2019,1,12,08:30,UTC,331,2.7
2019,1,12,09:00,UTC,330,2.6
2019,1,12,09:30,UTC,327,2.8
2019,1,12,10:00,UTC,324,2.5
2019,1,12,10:30,UTC,324,2.2
2019,1,12,11:00,UTC,329,2.1
2019,1,12,11:30,UTC,324,2.1
2019,1,12,12:00,UTC,319,1.9
2019,1,12,12:30,UTC,327,1.9
